"huid","Tabloid_dict","Non_tabliod_dict"
3853309441,0,0.00248
5033953252,0,0.00645
2431246818,0.01563,0.00781
3612499108,0.00969,0.00485
5070425700,0,0
3070501065,0.00292,0.00585
2967461259,0,0
4204574391,0,0
4974509285,0.01463,0.00488
3056091819,0.05319,0
2911302250,0,0.00741
5870286757,0,0
3261954030,0.00816,0
5321667466,0.00161,0.00482
3821029079,0.00426,0.00426
3467912503,0.01478,0
2744802548,0,0.01079
2024487198,0,0.01639
4427443412,0.01942,0.00647
5086513062,0,0
3022012397,0.00541,0
2535774567,0.00218,0.00218
3400388229,0,0
3040483932,0.00249,0
3927916742,0,0
4081307811,0.00698,0.00233
5779360174,0.00826,0
4259702392,0.00777,0.00583
5621425513,0.00649,0
4241961924,0.00787,0.00394
4675457608,0,0
5806714342,0.01022,0
2196616209,0.00439,0
3107232141,0.00691,0.00319
5671781895,0.00667,0
3738595719,0.0068,0.0034
3199125885,0.01036,0
2999930541,0.01579,0.01053
3849183623,0.00645,0
5870737982,0,0
5760740493,0.0033,0.0099
2202309538,0.01351,0.02252
2956418259,0.01786,0
4432778669,0,0
2817823837,0.0113,0.0113
5929693835,0,0
2419285810,0.00317,0
3621623649,0.02778,0
3307831948,0,0
5638330831,0.04,0
5601197313,0,0
4644972221,0.00694,0.01389
6134838702,0,0
2540688865,0.0073,0
4275483616,0.0202,0
2108162226,0,0
4369991986,0.01397,0.00559
5017436500,0,0
5105943576,0,0
4436032941,0,0
2730042195,0.00621,0.00621
5812950005,0,0
2077021404,0,0
3745336610,0,0
5727483587,0.00487,0.00243
4638050323,0,0.00966
1958297464,0.00495,0.00495
5102529428,0,0
2041554521,0,0
2723028234,0.00758,0
2346092339,0,0
1882920110,0.00444,0
4517425183,0.00457,0
5880027564,0,0.00299
5898013963,0.00674,0.01348
5187402482,0,0
2582229281,0.00719,0
3315105661,0,0.00769
4859334089,0,0
2248291900,0.02913,0
4294965376,0,0
4478192928,0,0.01796
2784709897,0,0
3832359153,0.00833,0
2190280622,0,0.00331
2135958894,0,0
2302499434,0.00435,0.01087
3407922698,0.00995,0
3141616434,0.0146,0
4206274668,0,0
3138908677,0,0.00926
4802329080,0.01622,0
4518410249,0.0089,0.00593
6015322485,0,0
3676527411,0.0049,0.0098
3972993846,0,0
4758552888,0,0
2400862404,0,0.00877
2589440211,0.00781,0.00781
3100876509,0.00655,0.00187
2057185822,0.0101,0
2175462191,0.00356,0
2640259002,0.00347,0
5645769465,0,0
3121594770,0,0
5598917327,0,0.00513
4940067367,0,0
2231829897,0.00538,0.00538
5105344198,0.00641,0
3878915396,0,0.008
3813343746,0,0
4821667640,0.00565,0
3502827276,0,0.01613
4594224559,0,0
2435781530,0,0
3962921098,0.00327,0
3969099112,0,0.01805
4059586535,0.00855,0.00285
3827878584,0.01802,0
3899944374,0.00455,0.00909
5059792767,0.01744,0
2629918085,0.00253,0
2363079408,0.02101,0
4950486016,0,0
4542878653,0.00673,0.00224
3541051948,0.00917,0
2878885548,0,0
5301480658,0.00893,0
3723193772,0.00415,0
5946112779,0.00685,0
4124999079,0,0
2752215736,0.01093,0
3904087433,0.00243,0
2002860947,0,0
5163382668,0,0
4098690288,0,0
5489113228,0,0.0125
3906989737,0.01087,0.00543
5233087764,0,0
3058665882,0,0
4827272661,0.00763,0.00382
3596230499,0,0.01471
4793638600,0.00571,0.00571
6103328840,0,0
3020865111,0,0.00505
3243313531,0,0
2731623921,0.00316,0.00316
3168026512,0.00881,0.00441
4001715807,0.0122,0
3985586104,0,0
5653102219,0.00716,0.02147
4135750169,0,0.0198
6016957567,0,0.00847
5855107260,0,0.03922
5002546777,0.0068,0.0034
4177345608,0.00294,0.01176
4135612780,0.004,0
